feature,importance
num__DepMinuteSin,0.05262760854391274
num__DepHourSin,0.05133658676336304
num__ArrMinuteCos,0.033971955417086405
num__ArrHourSin,0.031527633296934705
num__DepMinute,0.031081278015647158
num__CarrierDepHourDelayRate,0.03031365800305345
num__ArrHourCos,0.029525610600454954
num__ArrHour,0.02926476950649467
num__ArrMinuteSin,0.028224752926579784
num__DepHour,0.02729389382015704
num__IsMorningPeak,0.025398333228094545
num__ArrMinute,0.0230418637239327
cat__ArrPeriod,0.019278586023715998
num__OriginHourDelayRate,0.018232291099299594
num__CarrierDelayRate28d,0.015888054944599505
num__YearDayCos,0.015419815356047261
num__CarrierDelayRateEWMA,0.015070934539827946
num__IsEveningPeak,0.01502671732622364
num__AirlineOriginDelayRate,0.013203240937966095
num__YearProgress,0.01243618837442516
num__WeekOfYear,0.012348425148089395
num__DestHourDelayRate,0.012207587159190156
num__MonthCos,0.011765537020536595
num__DayOfYear,0.01120414929170028
num__CarrierDelayRate,0.01118606638875493
num__YearDaySin,0.011068568701679915
num__CarrierDelayRate90d,0.010940703029437981
num__Month,0.010241343557868985
num__DepMinuteCos,0.010232696011138255
num__DepHourCos,0.009607581690225912
num__OriginDelayRate28d,0.009521818387053516
num__AirlineDestDelayRate,0.009046317364077482
num__IsHolidayWindow,0.008801796371159132
num__DayOfWeekSin,0.008289221796178428
num__DestDelayRate28d,0.00812703426764244
num__OriginDelayRateEWMA,0.008123165365043431
cat__Airline,0.007927275769080578
num__MonthSin,0.0076446593224295
num__DestDelayRateEWMA,0.007546521549835835
cat__DepPeriod,0.007421239961686007
num__DaysToNearestFederalHoliday,0.007402454440071602
num__CarrierDelayTrend28d,0.007044490728434602
num__DayOfMonth,0.006918516516535886
num__CarrierHistoryCount,0.006670872738688956
cat__Season,0.006583344098767175
num__DayOfWeek,0.0065177987395521495
num__DayOfWeekCos,0.005974396932424779
num__DestDelayRate90d,0.00593212642309266
num__CarrierDepHourFlightShare,0.0056004177301351155
num__OriginDelayRate90d,0.005547435037880428
num__CarrierHistoryLogCount,0.005426644331984261
num__DestDelayRate,0.005369824445990454
num__IsPeakHour,0.0052580385411342394
num__CarrierRouteDelayRate,0.005138197789109876
num__Quarter,0.005015134093707491
num__RouteDelayRate,0.004972356006922423
num__CarrierDepHourHistoryCount,0.004814933859805557
num__OriginDelayTrend28d,0.00480025448810202
num__IsWeekend,0.004698786819276407
num__OriginDelayRate,0.004673736663370379
num__AirlineOriginHistoryCount,0.0046215106415969705
num__AirlineOriginHistoryLogCount,0.00460272968261569
num__AirlineOriginFlightShare,0.00449060050424163
num__OriginHistoryCount,0.004477243873059104
num__RouteDelayRate90d,0.004407930564482564
num__CarrierDepHourHistoryLogCount,0.00436168323544541
num__RouteDelayRateEWMA,0.0043534073123313085
cat__DistanceBand,0.004308687642859364
num__OriginDailyScheduledFlights,0.004193998830866847
num__OriginHistoryLogCount,0.004067056559509092
num__OriginScheduledDepartures120m,0.004050991473661162
num__CarrierOriginDailyScheduledFlights,0.0040092875935404575
num__RouteDelayRate28d,0.003967959776754664
num__OriginScheduledDepartures60m,0.003859540823665486
num__ScheduledSpeedMph,0.0036815386682900195
cat__Route,0.003628528956979586
cat__Origin,0.00359850564445396
num__DestHistoryCount,0.003595596814583673
num__DestScheduledArrivals120m,0.003563624347291812
num__DestDelayTrend28d,0.0035254513479504117
num__DestDailyScheduledFlights,0.0035214778405696463
num__OriginScheduledDepartures30m,0.0035043553701657923
num__DestScheduledArrivals30m,0.003468790577357122
num__RouteHistoryLogCount,0.0034416923565870803
num__OriginHourHistoryCount,0.0033709053086279353
num__LogDistance,0.003357838520172974
num__DestHistoryLogCount,0.0033464973419926685
num__DestScheduledArrivals60m,0.0033381194766308785
cat__Dest,0.0033181051808146254
num__OriginHourHistoryLogCount,0.0033144879031814694
num__DestHourHistoryLogCount,0.0032965715413747427
num__Distance,0.00321397273827089
num__CarrierRouteHistoryLogCount,0.0032028039291002426
num__DestHourFlightShare,0.003201984040959425
num__DestHourHistoryCount,0.0031139105167229957
num__AirlineDestHistoryCount,0.0030982602114212996
num__OriginHourFlightShare,0.003097358461913789
num__RouteDailyScheduledFlights,0.003074890775340583
num__CRSElapsedTime,0.003057873354811288
num__RouteHistoryCount,0.0029752022215828234
num__AirlineDestHistoryLogCount,0.0029558742515000775
num__CarrierRouteHistoryCount,0.0028764399356305025
num__RouteFlightShare,0.002822725620463043
num__IsFederalHoliday,0.0026215268715094222
num__DestBankShare60m,0.002513076029965238
num__CarrierRouteFlightShare,0.0024583065365543165
num__IsOvernightSchedule,0.002445202016947246
num__IsLongHaul,0.002377615922703062
num__RouteDelayTrend28d,0.002341694714680264
num__OriginBankShare60m,0.0022671725782265582
num__IsRedEye,0.0018641525344311755
num__CalendarDateKnown,0.0
